,COUNTY,NPI,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Tot_Benes
0,1001,8,208,305.5,8960,261257.33,20.0,29.0,35.1,31306.66,1042.0,0.0
1,1003,87,3494,5036.4,146672,4434460.66,460.0,1451.0,2098.0,1833265.4,61223.0,154.0
2,1005,2,154,208.0,6024,187907.64,0.0,0.0,0.0,0.0,0.0,0.0
3,1007,6,152,195.2,5634,167041.9,0.0,0.0,0.0,0.0,0.0,0.0
4,1009,57,2354,2959.6,85474,2610883.5,439.0,1029.0,1168.2,1010104.4500000001,33422.0,0.0
5,1011,19,545,788.7,22990,694245.9299999999,92.0,96.0,117.6,105646.38,3384.0,0.0
6,1013,7,377,587.4,17225,525336.86,57.0,155.0,223.5,199724.63,6518.0,0.0
7,1015,44,2564,3837.8,112324,3398366.8899999997,456.0,1208.0,1798.0,1590394.92,52652.0,158.0
8,1017,50,2944,4099.2,119306,3605263.18,618.0,1656.0,2215.8,1943696.68,64278.0,248.0
9,1019,23,700,1067.3,31324,899891.5,87.0,257.0,359.5,305404.55,10528.0,0.0
10,1021,8,273,437.4,12907,373968.06,36.0,78.0,119.3,100808.62,3510.0,12.0
11,1023,3,113,151.89999999999998,4454,126079.61,18.0,56.0,73.2,63278.78,2140.0,0.0
12,1025,11,203,257.4,7510,228323.66999999998,0.0,36.0,64.8,59337.48,1904.0,0.0
13,1027,9,580,818.9,23840,671303.0599999999,99.0,226.0,290.2,245044.08000000002,8374.0,22.0
14,1029,31,2041,3111.2,91182,2762611.1199999996,361.0,991.0,1464.8999999999999,1294468.92,42838.0,158.0
15,1031,38,1257,1725.7,50159,1560443.6199999999,126.0,528.0,771.6,700367.55,22590.0,0.0
16,1033,62,3053,3917.5,113386,3439105.96,559.0,1388.0,1714.4,1497900.48,49712.0,117.0
17,1035,67,2036,2587.8,74789,2300901.21,78.0,459.0,514.2,452590.99,14742.0,0.0
18,1037,30,1618,2394.2,70234,2051057.62,346.0,704.0,1032.8,877204.54,30322.0,86.0
19,1039,7,353,429.2,12432,379503.98,52.0,60.0,80.4,72027.03,2358.0,0.0
20,1041,18,607,886.8,25827,795411.37,73.0,341.0,460.3,412291.89,13356.0,0.0
21,1043,54,1967,2481.2,72359,2179219.21,232.0,575.0,669.9,569638.63,19488.0,0.0
22,1045,39,1330,1818.9,52857,1614522.66,170.0,652.0,948.4,831517.56,27728.0,44.0
23,1047,24,1833,2572.2,75102,2301779.34,309.0,936.0,1374.0,1227421.2,40182.0,174.0
24,1049,36,1639,1899.2,54434,1686534.61,317.0,631.0,716.0,633448.72,20348.0,0.0
25,1051,31,1052,1388.3,40410,1192076.91,119.0,393.0,472.2,414660.66,13734.0,0.0
26,1053,43,1569,1889.1,54406,1660978.5,104.0,340.0,373.4,324886.3,10668.0,0.0
27,1055,57,2232,2848.0,82291,2482665.81,428.0,870.0,1037.4,896330.5,29804.0,0.0
28,1057,16,317,386.1,11346,339116.21,0.0,63.0,81.6,70229.47,2390.0,0.0
29,1059,37,1473,1806.6,52444,1579450.77,198.0,680.0,791.4,705559.65,23030.0,0.0
30,1061,37,1488,2071.9,60485,1797765.29,164.0,512.0,725.4,627637.35,21219.0,58.0
31,1065,3,86,103.5,3058,92581.97,0.0,16.0,22.3,19526.61,662.0,0.0
32,1067,10,264,344.4,10008,282278.78,44.0,184.0,257.2,203177.04,7496.0,44.0
33,1069,42,1605,2224.7,64927,1906766.43,208.0,636.0,902.2,758787.36,26357.0,102.0
34,1071,12,462,605.7,17660,531121.04,34.0,252.0,372.0,327254.08,10924.0,22.0
35,1073,192,11073,14984.2,435765,12668251.62,1866.0,6066.0,8286.7,7007437.51,241034.0,468.0
36,1075,13,341,426.3,12394,367642.84,24.0,114.0,135.1,118523.48000000001,3904.0,0.0
37,1077,27,1970,2544.0,73710,2223464.73,385.0,1210.0,1552.6,1356234.57,45016.0,180.0
38,1079,21,910,1165.9,33608,1022162.46,138.0,470.0,577.8,508414.77,16577.0,0.0
39,1081,60,3376,4730.0,137922,4158833.94,740.0,1980.0,2620.4,2305361.12,76078.0,248.0
40,1083,11,403,538.6,15628,460027.44,24.0,106.0,134.0,115597.06,3874.0,0.0
41,1085,24,1833,2572.2,75102,2301779.34,309.0,936.0,1374.0,1227421.2,40182.0,174.0
42,1087,14,408,575.3,16748,500250.72,101.0,96.0,117.6,105646.38,3384.0,0.0
43,1089,57,2358,3617.7,105965,3161018.15,341.0,1084.0,1700.2,1466216.51,49946.0,74.0
44,1091,3,116,166.5,4890,138744.33,13.0,63.0,85.0,67847.27,2497.0,0.0
45,1093,26,775,901.8000000000001,26248,786094.16,96.0,337.0,407.9,360745.0,11900.0,0.0
46,1095,55,2234,2862.8,82653,2526560.6,371.0,985.0,1145.4,994316.89,32730.0,0.0
47,1097,152,12011,17910.5,523652,15601552.17,2632.0,7256.0,10433.8,9079341.95,304195.0,954.0
48,1099,40,1282,1645.1,47548,1461717.05,26.0,221.0,248.2,215185.29,7110.0,0.0
49,1101,56,3458,4967.4,144880,4386779.62,538.0,1801.0,2631.2999999999997,2336591.89,76863.0,236.0
50,1103,66,2880,3626.7,104852,3183784.54,390.0,1257.0,1574.0,1386126.57,45244.0,0.0
51,1105,26,1857,2599.6,75886,2322816.7600000002,309.0,936.0,1374.0,1227421.2,40182.0,174.0
52,1107,10,278,444.2,13168,386774.76,0.0,54.0,97.2,82049.98,2900.0,0.0
53,1109,24,544,769.0,22372,674382.18,60.0,184.0,221.6,198559.97999999998,6356.0,0.0
54,1111,15,482,630.1,18190,532300.92,51.0,112.0,133.9,108837.81,3836.0,0.0
55,1113,12,512,722.6,21216,615683.78,72.0,228.0,287.0,256018.06,8416.0,0.0
56,1115,16,976,1256.8,36456,1081043.3699999999,192.0,563.0,744.1,644573.3200000001,21652.0,38.0
57,1117,59,2563,3573.8,104315,2929124.91,431.0,1429.0,1984.8,1630844.28,57827.0,36.0
58,1119,5,170,285.6,8480,248857.4,0.0,66.0,109.2,93206.51999999999,3240.0,0.0
59,1121,29,1701,2671.7,78402,2250002.12,414.0,602.0,1008.2,854248.52,29724.0,108.0
60,1123,17,755,952.8,27710,819089.39,119.0,328.0,384.79999999999995,339006.83999999997,11186.0,0.0
61,1125,30,1125,1751.4,51451,1560051.12,143.0,338.0,481.7,432318.4,14067.0,37.0
