,COUNTY,NPI,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Tot_Benes
0,1001,3,83,123.5,3636,99198.55,14.0,15.0,20.9,17134.23,618.0,0.0
1,1003,56,1849,2514.0,73407,2061044.31,156.0,1151.0,1518.3,1224489.94,44189.0,17.0
2,1005,2,102,141.6,4128,117566.98,0.0,102.0,141.6,117566.98,4128.0,0.0
3,1007,3,112,144.6,4186,122946.31,0.0,34.0,41.0,33383.37,1170.0,0.0
4,1009,43,1429,1760.1,50866,1447589.55,208.0,360.0,429.8,347142.69,12496.0,0.0
5,1011,11,436,633.3,18422,522428.41,70.0,101.0,138.1,115845.98999999999,3988.0,0.0
6,1013,7,265,400.9,11786,335889.33,57.0,84.0,124.0,102657.38,3666.0,0.0
7,1015,35,1669,2384.0,69536,1954278.98,260.0,1025.0,1384.3999999999999,1149376.42,40192.0,124.0
8,1017,40,1978,2598.4,75472,2137754.24,370.0,614.0,786.2,637861.82,22808.0,124.0
9,1019,9,459,653.1999999999999,19008,518057.71,72.0,294.0,402.2,320271.04000000004,11672.0,0.0
10,1021,6,197,329.2,9732,267309.23,38.0,44.0,61.6,51803.9,1816.0,12.0
11,1023,2,47,53.9,1546,39699.259999999995,0.0,14.0,14.9,12514.51,422.0,0.0
12,1025,2,32,32.0,896,26803.9,0.0,32.0,32.0,26803.9,896.0,0.0
13,1027,9,532,751.0,21978,575827.23,96.0,194.0,241.20000000000002,185913.69,7024.0,0.0
14,1029,25,1311,1934.6999999999998,56680,1578822.0,244.0,820.0,1112.1999999999998,920548.01,32397.0,124.0
15,1031,20,662,870.2,25472,736737.0399999999,132.0,0.0,0.0,0.0,0.0,0.0
16,1033,29,1523,1801.8,51702,1499416.44,252.0,549.0,656.3,549403.12,18854.0,93.0
17,1035,35,1121,1310.3,37975,1074232.81,26.0,643.0,739.3,589903.33,21372.0,0.0
18,1037,30,1142,1669.4,48914,1343781.44,190.0,436.0,651.2,517531.74,19172.0,0.0
19,1039,14,322,406.6,11968,343856.94,0.0,0.0,0.0,0.0,0.0,0.0
20,1041,20,647,880.7,25788,745560.34,67.0,140.0,202.2,175835.3,5884.0,0.0
21,1043,44,1170,1422.5,41354,1178009.85,105.0,321.0,364.7,291997.07,10548.0,0.0
22,1045,12,516,687.8000000000001,19956,583536.6799999999,154.0,48.0,67.6,55979.96,1960.0,0.0
23,1047,24,1182,1532.7,44604,1267517.46,105.0,768.0,1002.3,825194.8200000001,29250.0,0.0
24,1049,30,1144,1305.5,37592,1065058.54,167.0,162.0,199.8,166598.05,5812.0,0.0
25,1051,20,554,783.2,22994,635440.01,36.0,156.0,221.2,183582.68,6520.0,0.0
26,1053,28,917,1030.1,29802,841832.43,0.0,597.0,690.3,549357.75,19926.0,0.0
27,1055,28,1242,1594.6,46004,1290019.36,188.0,346.0,486.2,390527.44,14176.0,0.0
28,1057,5,134,140.2,4078,116441.51999999999,0.0,86.0,86.4,72698.14,2510.0,0.0
29,1059,17,595,697.2,19955,566149.77,48.0,150.0,169.0,139496.16,4822.0,0.0
30,1061,29,898,1223.6,35834,1002113.13,69.0,185.0,274.0,225125.57,7994.0,16.0
31,1065,3,39,60.6,1806,53504.51,0.0,0.0,0.0,0.0,0.0,0.0
32,1067,4,130,165.6,4768,138245.68,22.0,48.0,67.6,55979.96,1960.0,0.0
33,1069,21,752,1041.2,30318,848912.77,91.0,233.0,341.6,281105.52999999997,9954.0,16.0
34,1071,12,356,477.79999999999995,13998,389377.57,36.0,127.0,201.6,160676.37,5916.0,15.0
35,1073,141,7017,9500.9,276426,7538264.87,1097.0,3227.0,4315.9,3459100.79,125418.0,262.0
36,1075,4,70,81.7,2382,63527.38,0.0,44.0,53.9,41510.22,1586.0,0.0
37,1077,16,1255,1617.8,46830,1362872.8,222.0,755.0,1000.9,838365.11,29036.0,136.0
38,1079,16,440,583.2,16887,484120.47000000003,14.0,257.0,330.9,267879.57,9578.0,0.0
39,1081,48,2294,3017.4,87666,2494153.44,466.0,772.0,1003.4,812028.22,29146.0,124.0
40,1083,6,107,171.8,5074,138228.59,0.0,12.0,12.0,10290.96,360.0,0.0
41,1085,24,1182,1532.7,44604,1267517.46,105.0,768.0,1002.3,825194.8200000001,29250.0,0.0
42,1087,9,312,427.29999999999995,12370,361726.61,40.0,101.0,138.1,115845.98999999999,3988.0,0.0
43,1089,39,1433,2161.0,63347,1744144.48,203.0,667.0,1006.2,797119.26,29509.0,39.0
44,1091,3,131,157.5,4534,130906.59000000001,20.0,65.0,67.3,55315.99,1920.0,0.0
45,1093,9,275,328.5,9533,261189.88999999998,48.0,104.0,113.9,92589.56,3318.0,0.0
46,1095,42,1395,1714.7,49518,1420763.09,197.0,353.0,448.0,364308.96,13050.0,0.0
47,1097,110,7532,11540.1,338564,9573144.7,1616.0,4420.0,6524.3,5396845.68,191144.0,412.0
48,1099,33,1021,1203.1,34823,982438.15,26.0,643.0,739.3,589903.33,21372.0,0.0
49,1101,44,2207,3363.0,98597,2764947.5,367.0,1253.0,1897.7,1557300.73,55616.0,158.0
50,1103,53,1694,2073.7,59972,1727140.48,150.0,786.0,936.8,766499.14,26950.0,0.0
51,1105,24,1182,1532.7,44604,1267517.46,105.0,768.0,1002.3,825194.8200000001,29250.0,0.0
52,1107,6,164,229.0,6764,188793.38,0.0,54.0,70.0,56774.22,2060.0,0.0
53,1109,6,334,477.6,13890,398124.6,66.0,102.0,127.2,113723.5,3664.0,0.0
54,1111,12,329,448.3,13000,360615.53,14.0,68.0,79.0,58703.01,2233.0,0.0
