,COUNTY,NPI,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Tot_Benes
0,1001,18,982,1265.0,36664,1172486.6600000001,192.0,437.0,563.9,520687.13,16322.0,12.0
1,1003,139,11462,15922.6,462055,15323734.48,2350.0,6019.0,8561.2,8295742.86,248832.0,595.0
2,1005,22,706,971.2,28158,938889.26,68.0,122.0,167.0,160113.36,4832.0,0.0
3,1007,55,2271,2650.3,75994,2564764.23,297.0,1031.0,1163.6000000000001,1124788.85,33172.0,0.0
4,1009,167,9220,11501.3,331214,11061763.12,1994.0,4380.0,5508.5,5204009.23,158749.0,401.0
5,1011,43,1886,2614.1,76032,2511856.11,340.0,632.0,879.9,838712.34,25606.0,0.0
6,1013,8,563,834.6,24336,837417.4299999999,108.0,277.0,421.0,423489.54,12310.0,0.0
7,1015,99,8454,11578.699999999999,335846,11207626.99,1914.0,4623.0,6303.099999999999,6125696.13,182610.0,746.0
8,1017,79,7747,10021.6,289432,9634587.19,1838.0,4790.0,6127.2,5917759.88,176602.0,744.0
9,1019,96,4713,6250.7,181148,5832393.78,804.0,2101.0,2721.9,2532074.9,78838.0,102.0
10,1021,16,1457,2017.5,58772,1867173.18,326.0,874.0,1239.0,1138948.8399999999,36203.0,174.0
11,1023,5,360,472.3,13660,422488.57,72.0,162.0,216.3,195759.63,6274.0,22.0
12,1025,22,1388,1634.8,46786,1590457.69,292.0,780.0,855.0,823819.39,24274.0,75.0
13,1027,12,1493,1815.3,51994,1737704.52,319.0,765.0,921.0,877365.12,26354.0,138.0
14,1029,61,5825,7940.2,229986,7736473.41,1244.0,3420.0,4563.4,4462603.79,131808.0,548.0
15,1031,109,6798,8368.7,240466,8209453.68,1029.0,3076.0,3723.2,3672492.79,106912.0,225.0
16,1033,79,6071,7473.8,214660,7204901.1,1533.0,2893.0,3553.2,3392532.05,102095.0,490.0
17,1035,116,8895,11379.5,328605,11077505.209999999,1750.0,4507.0,5922.8,5803798.12,171415.0,461.0
18,1037,44,5698,7168.8,206802,6740087.6,1250.0,2948.0,3680.6,3475347.48,106042.0,468.0
19,1039,54,4037,4828.4,138702,4620574.73,537.0,1785.0,2079.5,2045071.84,59796.0,74.0
20,1041,39,2673,3297.7,94750,3124217.88,320.0,1086.0,1381.0,1350256.83,39786.0,0.0
21,1043,163,8457,10513.4,302886,10092011.77,1815.0,4100.0,5062.8,4803279.0,145730.0,172.0
22,1045,105,6567,8054.2,231419,7854948.79,1150.0,3562.0,4287.2,4168310.39,123023.0,249.0
23,1047,39,3855,5161.2,149160,5203334.100000001,822.0,2259.0,2926.2,2957889.27,84384.0,255.0
24,1049,100,6017,7322.2,210482,7080038.3,1271.0,2913.0,3506.7,3322605.07,100858.0,265.0
25,1051,56,3501,4408.0,127272,4132178.6999999997,676.0,1656.0,2082.6,1933938.29,60050.0,38.0
26,1053,83,7549,9677.7,279390,9407567.11,1483.0,4037.0,5302.6,5212536.45,153364.0,395.0
27,1055,169,9264,11871.4,342958,11259318.92,1834.0,4410.0,5674.8,5309506.86,164166.0,370.0
28,1057,31,1609,1866.6,53122,1748627.15,285.0,632.0,736.3,666322.26,20794.0,0.0
29,1059,48,2796,3342.1,96376,3147613.79,547.0,1383.0,1670.5,1583339.02,48412.0,84.0
30,1061,115,8703,10792.3,310865,10265040.42,1577.0,4703.0,5918.4,5675634.18,170767.0,297.0
31,1065,26,1217,1414.4,40414,1426882.25,246.0,658.0,736.2,733824.61,20912.0,0.0
32,1067,44,2463,3049.2,87754,2863808.8,453.0,1340.0,1668.3,1589550.98,47967.0,81.0
33,1069,117,7984,10052.0,289680,9510629.9,1584.0,4722.0,6011.3,5715763.21,173254.0,321.0
34,1071,42,2466,3014.8,86638,2890240.71,441.0,1270.0,1553.1,1480278.8,44680.0,78.0
35,1073,389,30678,40261.3,1163721,38105099.91,5837.0,17957.0,23729.6,22309814.69,686231.0,1615.0
36,1075,30,1504,1761.9,50086,1647615.26,214.0,705.0,820.7,750695.46,23161.0,13.0
37,1077,42,3161,4175.5,120701,4065237.47,690.0,1931.0,2650.2000000000003,2586523.7800000003,76827.0,357.0
38,1079,38,2324,2856.3,81917,2720419.21,410.0,1370.0,1668.9,1594851.97,47796.0,30.0
39,1081,122,9972,13246.6,383624,12864262.86,2342.0,5772.0,7552.0,7303229.62,218246.0,872.0
40,1083,33,1556,1928.1,55438,1870353.51,221.0,753.0,963.1,932314.77,27754.0,22.0
41,1085,39,3855,5161.2,149160,5203334.100000001,822.0,2259.0,2926.2,2957889.27,84384.0,255.0
42,1087,41,1889,2496.5,72416,2400323.82,314.0,700.0,928.9,878561.7,26994.0,0.0
43,1089,167,7708,11074.2,321946,10665396.01,1271.0,3822.0,5575.7,5334976.61,162325.0,272.0
44,1091,12,1069,1392.6,40110,1336207.7,241.0,568.0,754.6,724006.61,21768.0,101.0
45,1093,31,2578,2892.1,83089,2753236.68,484.0,1245.0,1398.4,1333992.6400000001,40378.0,97.0
46,1095,156,8685,10861.0,312867,10469766.17,1856.0,4103.0,5135.0,4873865.3,147976.0,387.0
47,1097,272,32051,45117.5,1310833,43712061.2,7087.0,20910.0,29511.0,28631877.56,857775.0,3395.0
48,1099,66,6548,8534.1,246721,8287836.26,1385.0,3351.0,4471.6,4387963.54,129519.0,398.0
49,1101,104,7503,9955.5,288032,9623074.69,1554.0,3910.0,5279.3,5087434.39,152876.0,488.0
50,1103,143,7512,9395.2,270646,8979422.790000001,1415.0,3827.0,4775.4,4545047.02,137463.0,103.0
