,FIPS,Population_2020,Obesity_2020,ExcessiveDrinking,Unemployment,PhysicalInactivity,College,PhysicalDistress,MentalDistress,FI,HouseBurden,PCP,MHP,TrafficVolume,StateAbbr,Population_2022,TotalPop18plus,Obesity,Diabetes,Depression,BingeDrink,Conservative Protestant,Black Protestant,Orthodox Christian,Mainline Protestant,Other,Other Christian,Catholic,Judaism,Latter-day Saints,Hinduism,Jehovah’s Witnesses,Buddhism,Islam,Series_Complete_Yes,county_fips,DEMOCRAT_2024,REPUBLICAN_2024,Suicide,FFR20,FSR20
1702,39145,75441,29044.785,11824.93746158346,5097.294469014363,26781.555,8912,11253.450081871231,12062.727353263199,13380,3828,48.0,300.0,67,OH,72194,56645,24753.865,7307.205,16087.18,10026.165,14234.0,900.0,0.0,3209.0,0.0,0.0,0.0,0.0,471.0,0.0,210.0,0.0,0.0,39410,39145.0,8021,22978,11,58,36
1703,39147,55251,18895.842,9434.92733281476,2429.667256466016,15415.028999999999,7288,6643.67681300274,7385.350826946331,7190,2058,23.0,67.0,34,OH,54632,43023,20263.833000000002,5205.783,11960.394000000002,8432.508,1749.0,100.0,0.0,5658.0,0.0,0.0,0.0,0.0,471.0,0.0,338.0,0.0,0.0,27914,39147.0,7765,17241,7,26,36
1704,39149,48610,15944.079999999998,9766.626870350601,1828.0092863922,13464.970000000001,6775,5388.4327971732,6093.9215739163,5570,1366,19.0,40.0,30,OH,47671,36084,13675.836,4113.576,10031.352,7469.387999999999,12520.0,150.0,0.0,4082.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,18022,39149.0,4350,20740,3,31,30
1705,39151,371516,129287.56799999998,63206.18174703668,18233.9630664945,101423.86800000002,56154,43466.541840067686,48290.505199614476,53190,15305,299.0,1039.0,149,OH,372657,293217,112302.111,31667.436,71544.948,56004.447,73141.0,5458.0,2700.0,27017.0,0.0,26.0,0.0,810.0,1413.0,0.0,1968.0,0.0,938.0,210237,39151.0,71090,111478,48,339,233
1706,39153,540810,161702.19,98859.1255682697,25238.878755509704,144396.27,92467,63658.5539507055,73082.4177088071,80830,27318,513.0,1499.0,255,OH,535882,426254,168370.33000000002,47740.448,110826.04000000001,79709.498,87857.0,8910.0,3674.0,27502.0,0.0,342.0,0.0,2097.0,1884.0,0.0,4074.0,1533.0,3720.0,358589,39153.0,145005,125910,93,490,350
1707,39155,199144,76869.584,30764.912862546724,12424.066710786194,54565.456,22555,24497.460330583683,27980.097419282803,32600,9551,92.0,312.0,93,OH,200643,159684,71219.064,20439.552000000003,44711.520000000004,31457.748,28363.0,4800.0,1212.0,11633.0,0.0,0.0,0.0,0.0,428.0,65.0,1666.0,0.0,1644.0,112645,39155.0,39758,55983,36,152,119
1708,39157,92165,30506.615,15788.99399958635,4214.7995043825,25437.54,10829,11208.604097533,11881.91122581205,12000,3698,38.0,144.0,67,OH,91937,71061,31053.657000000003,8527.32,18404.799,14070.078000000001,16772.0,200.0,0.0,13275.0,0.0,0.0,0.0,0.0,471.0,0.0,794.0,0.0,0.0,42403,39157.0,12032,30652,18,74,69
1709,39159,57871,19039.559,11378.542678563172,2001.961947139099,14352.008000000002,10420,6157.36423155601,6733.3790743395,5240,1758,28.0,73.0,40,OH,66898,50934,19049.316,4431.258,12886.302,9983.064,5218.0,180.0,0.0,5675.0,0.0,0.0,0.0,0.0,428.0,0.0,236.0,0.0,0.0,39022,39159.0,12934,23982,9,29,22
1710,39161,28213,11510.903999999999,5161.398872251961,993.996518599754,8802.456,3822,3339.4899089208,3712.76770331828,3300,1047,13.0,25.0,5,OH,28769,22136,9363.528,2412.824,6109.536,4360.792,4358.0,0.0,0.0,3320.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,12690,39161.0,3000,11616,2,22,16
1711,39163,0,0.0,0.0,0.0,0.0,1192,0.0,0.0,2090,587,2.0,9.0,28,OH,12565,9920,4087.04,1269.76,2995.84,1874.88,699.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5261,39163.0,1169,4531,1,6,3
